"","Player","Rec","Yds","TD","X20.","X40.","Rec.1st","X1st.","Rec.FUM","Rec.YAC.R","Tgts","Salary","catchRate","X20.39"
"78","Tucker Kraft",50,707,7,11,2,30,60,1,456,70,951724,0.714285714,9
"79","Will Dissly",50,481,2,5,0,24,48,0,303,64,1125000,0.78125,5
"80","Jalen Tolbert",49,610,7,8,1,29,59.2,0,166,79,1171884,0.620253165,7
"81","Tyler Lockett",49,600,2,7,0,36,73.5,0,134,74,4660000,0.662162162,7
"82","Xavier Legette",49,497,4,7,0,27,55.1,0,112,84,795000,0.583333333,7
"83","Adam Thielen",48,615,5,9,1,28,58.3,0,152,62,5500000,0.774193548,8
"84","Noah Fant",48,500,1,3,0,25,52.1,0,277,64,2490000,0.75,3
"86","Cole Kmet",47,474,4,7,0,25,53.2,0,181,55,9900000,0.854545455,7
"87","Evan Engram",47,365,1,2,0,17,36.2,1,150,64,2e+06,0.734375,2
"89","Kyle Pitts",47,602,4,7,3,21,44.7,0,272,74,1055000,0.635135135,4
"90","Michael Wilson",47,548,4,10,1,27,57.4,1,130,71,992703,0.661971831,9
"91","Stefon Diggs",47,496,3,5,1,31,66,0,185,64,1210000,0.734375,4
"92","Tre Tucker",47,539,3,6,2,24,51.1,0,208,81,991095,0.580246914,4
"94","Romeo Doubs",46,601,4,8,0,33,71.7,0,135,72,985000,0.638888889,8
"95","Austin Hooper",45,476,3,5,0,25,55.6,2,225,59,1210000,0.762711864,5
"96","Olamide Zaccheaus",45,506,3,5,2,26,57.8,0,284,64,1125000,0.703125,3
"97","Rashod Bateman",45,756,9,11,4,35,77.8,0,184,72,1055000,0.625,7
"98","Amari Cooper",44,547,4,8,0,24,54.6,0,111,85,806667,0.517647059,8
"99","Dalton Kincaid",44,448,2,5,0,23,52.3,1,274,75,1360319,0.586666667,5
"101","Kayshon Boutte",43,589,3,11,2,25,58.1,0,150,68,915000,0.632352941,9
"103","Dallas Goedert",42,496,2,6,2,20,47.6,2,257,52,1125000,0.807692308,4
"104","Isaiah Likely",42,477,6,4,2,26,61.9,1,256,58,985000,0.724137931,2
"108","Devaughn Vele",41,475,3,7,0,26,63.4,0,127,55,795000,0.745454545,7
"109","T.J. Hockenson",41,455,0,5,0,30,73.2,0,145,62,1150000,0.661290323,5
"112","Brenton Strange",40,411,2,7,0,21,52.5,1,183,53,1027924,0.754716981,7
"113","Jordan Akins",40,390,2,3,0,20,50,1,177,58,1490000,0.689655172,3
"114","Noah Gray",40,437,5,6,0,25,62.5,0,210,49,1055000,0.816326531,6
"115","Darius Slayton",39,573,2,9,2,30,76.9,0,124,71,2500000,0.549295775,7
"116","Dontayvion Wicks",39,415,5,4,0,25,64.1,0,139,76,915000,0.513157895,4
"117","Josh Palmer",39,584,1,10,1,28,71.8,0,101,65,3116000,0.6,9
"121","Tyler Boyd",39,390,0,4,1,20,51.3,0,189,57,1440000,0.684210526,3
"124","Alec Pierce",37,824,7,13,7,32,86.5,0,118,69,1305122,0.536231884,6
"125","Allen Lazard",37,530,6,8,2,29,78.4,0,155,60,1e+07,0.616666667,6
"126","Greg Dortch",37,342,3,2,0,16,43.2,1,294,50,1125000,0.74,2
"127","Jalen McMillan",37,461,8,8,0,23,62.2,0,133,58,795000,0.637931034,8
"130","Andrei Iosivas",36,479,6,7,0,26,72.2,0,67,61,915000,0.590163934,7
"137","Noah Brown",35,453,1,4,1,21,60,0,83,56,1210000,0.625,3
