Player,Team,Salary
Mason Kinsey,NA,"$915,000 "
Nikko Remigio,NA,"$915,000 "
Parker Washington,NA,"$915,000 "
Puka Nacua,NA,"$915,000 "
Trey Palmer,NA,"$915,000 "
Tyler Scott,NA,"$915,000 "
Xavier Gipson,NA,"$915,000 "
Xavier Hutchinson,NA,"$915,000 "
Amari Cooper,NA,"$806,667 "
Davante Adams,NA,"$806,667 "
Adonai Mitchell,NA,"$795,000 "
Anthony Gould,NA,"$795,000 "
Brenden Rice,NA,"$795,000 "
NA,NA,NA
Brian Thomas Jr.,NA,"$795,000 "
Bryce Ford-Wheaton,NA,"$795,000 "
Bryce Oliver,NA,"$795,000 "
Bub Means,NA,"$795,000 "
Casey Washington,NA,"$795,000 "
Chris Blair,NA,"$795,000 "
Dee Williams,NA,"$795,000 "
Devaughn Vele,NA,"$795,000 "
Devontez Walker,NA,"$795,000 "
Isaiah Williams,NA,"$795,000 "
Ja'Lynn Polk,NA,"$795,000 "
Jacob Cowing,NA,"$795,000 "
Jalen Coker,NA,"$795,000 "
Jalen McMillan,NA,"$795,000 "
Jamari Thrash,NA,"$795,000 "
Javon Baker,NA,"$795,000 "
Jermaine Burton,NA,"$795,000 "
Jha'Quan Jackson,NA,"$795,000 "
Johnny Wilson,NA,"$795,000 "
Jordan Whittington,NA,"$795,000 "
NA,NA,NA
Kaden Davis,NA,"$795,000 "
Keon Coleman,NA,"$795,000 "
Kevin Austin,NA,"$795,000 "
Ladd McConkey,NA,"$795,000 "
Luke McCaffrey,NA,"$795,000 "
Malachi Corley,NA,"$795,000 "
Malik Nabers,NA,"$795,000 "
Malik Washington,NA,"$795,000 "
Marvin Harrison Jr.,NA,"$795,000 "
Mason Tipton,NA,"$795,000 "
Ramel Keyton,NA,"$795,000 "
Ricky Pearsall,NA,"$795,000 "
Roman Wilson,NA,"$795,000 "
Rome Odunze,NA,"$795,000 "
Ryan Flournoy,NA,"$795,000 "
Ryan Miller,NA,"$795,000 "
Tay Martin,NA,"$795,000 "
Troy Franklin,NA,"$795,000 "
Xavier Legette,NA,"$795,000 "
Xavier Smith,NA,"$795,000 "
NA,NA,NA
Xavier Weaver,NA,"$795,000 "
Xavier Worthy,NA,"$795,000 "
Rakim Jarrett,NA,"$751,667 "
DeAndre Hopkins,NA,"$739,444 "
Ainias Smith,NA,"$668,610 "
Kameron Johnson,NA,"$632,503 "
Mike Williams,NA,"$627,500 "
Josh Reynolds,NA,"$623,610 "
Grant DuBose,NA,"$578,335 "
Jonathan Mingo,NA,"$576,286 "
Juwann Winfree,NA,"$570,000 "
Malik Taylor,NA,"$545,000 "
Nsimba Webster,NA,"$545,000 "
Anthony Schwartz,NA,"$520,000 "
Antoine Green,NA,"$495,000 "
Colton Dowell,NA,"$495,000 "
David White Jr,NA,"$470,000 "
JaQuae Jackson,NA,"$470,000 "
Jeff Foreman,NA,"$470,000 "
Marcus Riley,NA,"$470,000 "
NA,NA,NA
Tahj Washington,NA,"$470,000 "
Anthony Miller,NA,"$383,400 "
Keith Kirkwood,NA,"$383,400 "
Isaiah McKenzie,NA,"$319,500 "
Donovan Peoples-Jones,NA,"$302,400 "
