,Player,Rec,Yds,TD,X20.,X40.,Rec.1st,X1st.,Rec.FUM,Rec.YAC.R,Tgts,Salary,catchRate,X20.39
382,Quentin Johnston,55,711,8,12,1,32,58.2,0,306,91,"$959,944 ",0.604395604,11
80,Chase Brown,54,360,4,2,0,23,42.6,0,326,65,NA,0.830769231,2
400,Rome Odunze,54,734,3,8,2,37,68.5,2,246,101,"$795,000 ",0.534653465,6
112,Dalton Schultz,53,532,2,5,0,26,49.1,0,214,85,"$5,000,000 ",0.623529412,5
81,Chig Okonkwo,52,479,2,4,1,19,36.5,2,249,70,"$985,000 ",0.742857143,3
214,Jahmyr Gibbs,52,517,4,6,1,26,50,1,593,63,NA,0.825396825,5
240,Javonte Williams,52,346,0,3,0,14,26.9,0,395,70,NA,0.742857143,3
2,Aaron Jones,51,408,2,4,0,20,39.2,2,411,62,NA,0.822580645,4
136,Deebo Samuel Sr.,51,670,3,10,3,28,54.9,0,421,81,"1,125,000",0.62962963,7
384,Rachaad White,51,393,6,3,0,18,35.3,1,516,57,NA,0.894736842,3
427,Tank Dell,51,667,3,9,1,35,68.6,0,164,81,"$958,596 ",0.62962963,8
469,Tyler Conklin,51,449,4,7,0,24,47.1,0,262,72,"$1,125,000 ",0.708333333,7
86,Chris Godwin,50,576,5,7,2,32,64,1,350,62,"$20,000,000 ",0.806451613,5
291,Juwan Johnson,50,548,3,8,0,27,54,2,212,66,"$1,125,000 ",0.757575758,8
460,Tucker Kraft,50,707,7,11,2,30,60,1,456,70,"$951,724 ",0.714285714,9
485,Will Dissly,50,481,2,5,0,24,48,0,303,64,"$1,125,000 ",0.78125,5
225,Jalen Tolbert,49,610,7,8,1,29,59.2,0,166,79,"$1,171,884 ",0.620253165,7
473,Tyler Lockett,49,600,2,7,0,36,73.5,0,134,74,"$4,660,000 ",0.662162162,7
490,Xavier Legette,49,497,4,7,0,27,55.1,0,112,84,"$795,000 ",0.583333333,7
4,Adam Thielen,48,615,5,9,1,28,58.3,0,152,62,"$5,500,000 ",0.774193548,8
367,Noah Fant,48,500,1,3,0,25,52.1,0,277,64,"$2,490,000 ",0.75,3
62,Bucky Irving,47,392,0,3,1,16,34,0,528,52,NA,0.903846154,2
98,Cole Kmet,47,474,4,7,0,25,53.2,0,181,55,"$9,900,000 ",0.854545455,7
172,Evan Engram,47,365,1,2,0,17,36.2,1,150,64,"$2,000,000 ",0.734375,2
229,James Conner,47,414,1,4,1,17,36.2,2,483,55,NA,0.854545455,3
315,Kyle Pitts,47,602,4,7,3,21,44.7,0,272,74,"$1,055,000 ",0.635135135,4
347,Michael Wilson,47,548,4,10,1,27,57.4,1,130,71,"$992,703 ",0.661971831,9
421,Stefon Diggs,47,496,3,5,1,31,66,0,185,64,"$1,210,000 ",0.734375,4
447,Tre Tucker,47,539,3,6,2,24,51.1,0,208,81,"$991,095 ",0.580246914,4
304,Kenneth Walker III,46,299,1,1,0,19,41.3,0,363,53,NA,0.867924528,1
401,Romeo Doubs,46,601,4,8,0,33,71.7,0,135,72,"$985,000 ",0.638888889,8
29,Austin Hooper,45,476,3,5,0,25,55.6,2,225,59,"$1,210,000 ",0.762711864,5
370,Olamide Zaccheaus,45,506,3,5,2,26,57.8,0,284,64,"$1,125,000 ",0.703125,3
391,Rashod Bateman,45,756,9,11,4,35,77.8,0,184,72,"$1,055,000 ",0.625,7
16,Amari Cooper,44,547,4,8,0,24,54.6,0,111,85,"$806,667 ",0.517647059,8
111,Dalton Kincaid,44,448,2,5,0,23,52.3,1,274,75,"$1,360,319 ",0.586666667,5
93,Chuba Hubbard,43,171,1,1,0,10,23.3,3,245,54,NA,0.796296296,1
297,Kayshon Boutte,43,589,3,11,2,25,58.1,0,150,68,"$915,000 ",0.632352941,9
106,D'Andre Swift,42,386,0,5,1,12,28.6,1,405,52,NA,0.807692308,4
109,Dallas Goedert,42,496,2,6,2,20,47.6,2,257,52,"$1,125,000 ",0.807692308,4
200,Isaiah Likely,42,477,6,4,2,26,61.9,1,256,58,"$985,000 ",0.724137931,2
286,Justice Hill,42,383,3,3,0,17,40.5,0,438,51,NA,0.823529412,3
461,Tutu Atwell,42,562,0,10,1,29,69,0,104,62,NA,0.677419355,9
493,Zach Charbonnet,42,340,1,4,0,8,19,0,377,52,NA,0.807692308,4
143,Devaughn Vele,41,475,3,7,0,26,63.4,0,127,55,"$795,000 ",0.745454545,7
425,T.J. Hockenson,41,455,0,5,0,30,73.2,0,145,62,"$1,150,000 ",0.661290323,5
443,Tony Pollard,41,238,0,2,0,9,22,0,221,57,NA,0.719298246,2
17,Ameer Abdullah,40,261,3,1,0,16,40,0,252,47,NA,0.85106383,1
51,Brenton Strange,40,411,2,7,0,21,52.5,1,183,53,"$1,027,924 ",0.754716981,7
268,Jordan Akins,40,390,2,3,0,20,50,1,177,58,"$1,490,000 ",0.689655172,3
368,Noah Gray,40,437,5,6,0,25,62.5,0,210,49,"$1,055,000 ",0.816326531,6
121,Darius Slayton,39,573,2,9,2,30,76.9,0,124,71,"$2,500,000 ",0.549295775,7
